magnetic stripe reader,காந்தப்பட்டி வாசிப்பான்,චුම්බකිත තීන්ත අනු ලකුණු කියවනය 
magnetic tape,காந்த நாடா,චුම්බක තීරැ කියවනය 
malware,தீம் பொருள்,චුම්බක පටිය 
management information system (MIS),முகாமைத்துவ தகவல் முறைமை,අනිශ්ඪ මෘදුකාංග 
man-machine coexistence,மனிதன் - இயந்திரம் ஒருங்கிருத்தல்,කළමනාකරණ තොරතුරැ පද්ධතිය 
media access control (MAC),ஊடக அணுகல் கட்டுப்பாடு,මිනිස්-යන්ත්‍ර සහපැවැත්ම 
memory management unit( MMU),நினைவக முகாமைத்துவ அலகு,මාධ්‍ය ප්‍රවේශ පාලක
mesh topology,கண்ணி இடத்தியல்,මතක කළමනාකරණ ඒකකය
microprocessor,நுண்செயலி,බැඳි ස්ථලකය 
microwave,நுண்ணலை,ක්ෂුද්‍ර සකසනය 
mini disk,சிறு வட்டு,ක්ෂුද්‍ර තරංග
mobile computing,செல்லிடக் கணிமை,කුඩා තැටිය 
mobile marketing,செல்லிடச் சந்தைப்படுத்தல்,ජංගම පරිගණනය 
modularization,கூறு நிலையாக்கம்,ජංගම අළෙවිකරණය 
modulation,பண்பேற்றம்,මොඩියුලකරණය
most significant,அதியுயர் மதிப்பு,මුර්ජනය 
mother board,தாய்ப்பலகை,වැඩිම වෙසෙසි 
multi agent systems,பல்முகவர் முறைமை,මවු පුවරැම 
multi user-multi task,பற்பயனர்-பற்பணி,බහු කාරක පද්ධති 
multi-core processors,பல்கரு செயலி,බහු පරිශීලක - බහු කාර්යය 
multimedia objects,பல்லூடக பொருள்,බහු හර සකසන 
multiplexer,பல்சேர்ப்பி,බහු මාධ්‍ය වස්තු 
multiplexing,பல்சேர்ப்பு,බහු පථකාරකය 
multiprocessing,பன்முறைவழியாக்கி,බහු පථකරණය 
multitasking,பற்பணி,බහු සැකසුම 
multi-threading,பல் செயல்கூறு,බහුකාර්ය කිරීම 
nature inspired computing,இயற்கை உள்ளீர்ப்புக் கணிப்பு,බහුඅනුක්‍රියායනය 
nested loop,நீடித்த வளையம்,ප්‍රකෘති ප්‍රේරිත පරිගණනය
nested loop,நீடித்த வளையம்,ප්‍රකෘති අනුප්‍රේරිත පරිගණනය
network addresses translating (NAT),வலையமைப்பு முகவரி பெயர்ப்பு,නීඩිත ලුපය
network architecture,வலையமைப்புக் கட்டமைப்பு,ජාල යොමු පරිවර්තනය
network layer,வலையமைப்பு அடுக்கு,ජාල නිර්මිතය 
network model,வலையமைப்பு மாதிரி,ජාල ස්ථරය 
neural network,நரம்பியல் வலையமைப்பு,ජාල ආකෘතිය 
non-functional requirement,செயல்சாராத் தேவைகள்,ස්නායුක ජාලය 
normalization,இயல்பாக்கல்,කාර්යබද්ධ නොවන අවශ්‍යතාව 
null,வெற்று,ප්‍රමතකරණය 
object code,பொருள் குறி,අභිශූන්‍ය 
object oriented,பொருள் நோக்குடைய,වස්තු කේත
object- relational model,பொருள் உறவுநிலை மாதிரி, පාදක
object- relational model,பொருள் உறவுநிலை மாதிரி,වස්තු නැඹුරැ
octal,எண்மம்,වස්තු-සම්බන්ධක ආකෘතිය 
office automation system (OAS),அலுவலகத் தன்னியக்க முறைமை,අෂ්ටමය 
offline,தொடரறு நிலை,කාර්යාල ස්වයංකරණ පද්ධතිය 
one’s compliment,ஓன்றின் நிரப்பி,මාර්ග අපගත
one’s compliment,ஓன்றின் நிரப்பி,මාර්ග නොවන
online,தொடரறா நிலை,එකෙහි අනුපුරකය 
open source,திறந்த மூலம்,මාර්ගගත 
operational feasibility,செயற்பாட்டுச் சாத்தியப்பாடு,විවෘත මූලාශ්‍ර
operator category,செயலி வகை,මෙහෙයුම් ශක්‍යතාව
operator precedence,செயலி முன்னுரிமை,කාරක ප්‍රවර්ගය
optical character reader (OCR),ஒளியியல் எழுத்துரு வாசிப்பான்,කාරක ප්‍රමුඛතා 
optical mark reader (OMR),காந்த மை எழுத்துரு வாசிப்பான்,ප්‍රකාශ අණු ලකුණු කියවනය 
